game_start_time,location,court,division,home_team,away_team
2025-09-20 12:10,OGP - Oakland,Court 3,2nd/3rd Grade D3,Bay Area Regulators 9u,Sportstrong 8u
2025-09-20 13:05,OGP - Oakland,Court 3,2nd/3rd Grade D3,Lakeshow 8U Fuca,Sportstrong 8u
2025-09-20 14:00,OGP - Oakland,Court 3,2nd/3rd Grade D3,Lakeshow 8U Fuca,1 on 1 8u
2025-09-21 11:15,OGP - Oakland,Court 4,2nd/3rd Grade D3,1 on 1 8u,Bay Area Regulators 9u
2025-09-21 12:10,OGP - Oakland,Court 4,2nd/3rd Grade D3,Lakeshow 8U Fuca,Bay Area Regulators 9u
2025-09-21 13:05,OGP - Oakland,Court 4,2nd/3rd Grade D3,Sportstrong 8u,1 on 1 8u
2025-09-20 10:20,Foothill Middle School,Ct. 1,9u/3rd Grade D2,WeCompete Nation Cubs 9u,4City 3rd/4th Purple
2025-09-20 12:10,Foothill Middle School,Ct. 1,9u/3rd Grade D2,Lakeshow 9U Giusti,4City 3rd/4th Purple
2025-09-20 13:05,Foothill Middle School,Ct. 1,9u/3rd Grade D2,NBBA 9u Black Marin (Larson),Lakeshow 9U Giusti
2025-09-20 14:00,Foothill Middle School,Ct. 1,9u/3rd Grade D2,NorCal Elite 9u Red (Pangilinan),NBBA 9u Black Marin (Larson)
2025-09-21 08:30,Foothill Middle School,Ct. 1,9u/3rd Grade D2,NorCal Elite 9u Red (Pangilinan),Lakeshow 9U Giusti
2025-09-21 09:25,Foothill Middle School,Ct. 1,9u/3rd Grade D2,WeCompete Nation Cubs 9u,NBBA 9u Black Marin (Larson)
2025-09-21 10:20,Foothill Middle School,Ct. 1,9u/3rd Grade D2,NorCal Elite 9u Red (Pangilinan),WeCompete Nation Cubs 9u
2025-09-20 08:30,Foothill Middle School,Ct. 1,10u/4th Grade D1,EBC 10u (Corey),NorCal Elite 10u Red (Harrison)
2025-09-20 09:25,Foothill Middle School,Ct. 1,10u/4th Grade D1,Lakeshow 10U Okotie,NorCal Elite 10u Red (Harrison)
2025-09-20 11:15,Foothill Middle School,Ct. 1,10u/4th Grade D1,Lakeshow 10U Okotie,EBC 10u (Corey)
2025-09-20 08:30,The Ultimate Fieldhouse,Court 1,10u/4th Grade D2,NBBA 10u Black Marin (Demaestri),1 on 1 10u
2025-09-20 09:25,The Ultimate Fieldhouse,Court 1,10u/4th Grade D2,NBBA 10u Black Marin (Demaestri),Sportstrong 10u
2025-09-20 10:20,The Ultimate Fieldhouse,Court 1,10u/4th Grade D2,Bay City EB 10u,Sportstrong 10u
2025-09-21 08:30,OGP - Oakland,Court 4,10u/4th Grade D2,1 on 1 10u,Bay City EB 10u
2025-09-21 09:25,OGP - Oakland,Court 4,10u/4th Grade D2,NBBA 10u Black Marin (Demaestri),Bay City EB 10u
2025-09-21 10:20,OGP - Oakland,Court 4,10u/4th Grade D2,Sportstrong 10u,1 on 1 10u
2025-09-20 14:00,Foothill Middle School,Ct. 2,10u/4th Grade D3,Team Blaze 10 Black,Bay City EB 10u Red
2025-09-20 14:55,Foothill Middle School,Ct. 2,10u/4th Grade D3,Team Blaze 10 Black,Lakeshow 10U Fuca
2025-09-20 14:55,Foothill Middle School,Ct. 1,10u/4th Grade D3,Bay City EB 10u Red,Lakeshow 10U Bryant
